HomeTeam,AwayTeam,Date,FT,HT
Man United,Fulham,2024-08-16,1-0,0-0
Ipswich,Liverpool,2024-08-17,0-2,0-0
Arsenal,Wolves,2024-08-17,2-0,1-0
Everton,Brighton,2024-08-17,0-3,0-1
Newcastle,Southampton,2024-08-17,1-0,1-0
Nott'm Forest,Bournemouth,2024-08-17,1-1,1-0
West Ham,Aston Villa,2024-08-17,1-2,1-1
Brentford,Crystal Palace,2024-08-18,2-1,1-0
Chelsea,Man City,2024-08-18,0-2,0-1
Leicester,Tottenham,2024-08-19,1-1,0-1
Aston Villa,Arsenal,2024-08-24,0-2,0-0
Tottenham,Everton,2024-08-24,4-0,2-0
Southampton,Nott'm Forest,2024-08-24,0-1,0-0
Crystal Palace,West Ham,2024-08-24,0-2,0-0
Fulham,Leicester,2024-08-24,2-1,1-1
Brighton,Man United,2024-08-24,2-1,1-0
Man City,Ipswich,2024-08-24,4-1,3-1
Bournemouth,Newcastle,2024-08-25,1-1,1-0
Wolves,Chelsea,2024-08-25,2-6,2-2
Liverpool,Brentford,2024-08-25,2-0,1-0
Nott'm Forest,Wolves,2024-08-31,1-1,1-1
West Ham,Man City,2024-08-31,1-3,1-2
Leicester,Aston Villa,2024-08-31,1-2,0-1
Brentford,Southampton,2024-08-31,3-1,1-0
Everton,Bournemouth,2024-08-31,2-3,0-0
Arsenal,Brighton,2024-08-31,1-1,1-0
Ipswich,Fulham,2024-08-31,1-1,1-1
Chelsea,Crystal Palace,2024-09-01,1-1,1-0
Newcastle,Tottenham,2024-09-01,2-1,1-0
Man United,Liverpool,2024-09-01,0-3,0-2
Bournemouth,Chelsea,2024-09-14,0-1,0-0
Aston Villa,Everton,2024-09-14,3-2,1-2
Man City,Brentford,2024-09-14,2-1,2-1
Liverpool,Nott'm Forest,2024-09-14,0-1,0-0
Fulham,West Ham,2024-09-14,1-1,1-0
Brighton,Ipswich,2024-09-14,0-0,0-0
Southampton,Man United,2024-09-14,0-3,0-2
Crystal Palace,Leicester,2024-09-14,2-2,0-1
Tottenham,Arsenal,2024-09-15,0-1,0-0
Wolves,Newcastle,2024-09-15,1-2,1-0
Southampton,Ipswich,2024-09-21,1-1,1-0
Crystal Palace,Man United,2024-09-21,0-0,0-0
Liverpool,Bournemouth,2024-09-21,3-0,3-0
Tottenham,Brentford,2024-09-21,3-1,2-1
Fulham,Newcastle,2024-09-21,3-1,2-0
West Ham,Chelsea,2024-09-21,0-3,0-2
Leicester,Everton,2024-09-21,1-1,0-1
Aston Villa,Wolves,2024-09-21,3-1,0-1
Brighton,Nott'm Forest,2024-09-22,2-2,2-1
Man City,Arsenal,2024-09-22,2-2,1-2
Wolves,Liverpool,2024-09-28,1-2,0-1
Everton,Crystal Palace,2024-09-28,2-1,0-1
Chelsea,Brighton,2024-09-28,4-2,4-2
