Date,HomeTeam,AwayTeam,HT,FT
2020-09-12,Fulham,Arsenal,0-1,0-3
2020-09-12,Crystal Palace,Southampton,1-0,1-0
2020-09-12,Liverpool,Leeds,3-2,4-3
2020-09-12,West Ham,Newcastle,0-0,0-2
2020-09-13,West Brom,Leicester,0-0,0-3
2020-09-13,Tottenham,Everton,0-0,0-1
2020-09-14,Brighton,Chelsea,0-1,1-3
2020-09-14,Sheffield United,Wolves,0-2,0-2
2020-09-19,Man United,Crystal Palace,0-1,1-3
2020-09-19,Arsenal,West Ham,1-1,2-1
2020-09-19,Everton,West Brom,2-1,5-2
2020-09-19,Leeds,Fulham,2-1,4-3
2020-09-20,Southampton,Tottenham,1-1,2-5
2020-09-20,Newcastle,Brighton,0-2,0-3
2020-09-20,Chelsea,Liverpool,0-0,0-2
2020-09-20,Leicester,Burnley,1-1,4-2
2020-09-21,Aston Villa,Sheffield United,0-0,1-0
2020-09-21,Wolves,Man City,0-2,1-3
2020-09-26,Brighton,Man United,1-1,2-3
2020-09-26,Crystal Palace,Everton,1-2,1-2
2020-09-26,West Brom,Chelsea,3-0,3-3
2020-09-26,Burnley,Southampton,0-1,0-1
2020-09-27,West Ham,Wolves,1-0,4-0
2020-09-27,Man City,Leicester,1-1,2-5
2020-09-27,Tottenham,Newcastle,1-0,1-1
2020-09-27,Sheffield United,Leeds,0-0,0-1
2020-09-28,Fulham,Aston Villa,0-2,0-3
2020-09-28,Liverpool,Arsenal,2-1,3-1
2020-10-03,Chelsea,Crystal Palace,0-0,4-0
2020-10-03,Everton,Brighton,2-1,4-2
2020-10-03,Leeds,Man City,0-1,1-1
2020-10-03,Newcastle,Burnley,1-0,3-1
2020-10-04,Aston Villa,Liverpool,4-1,7-2
2020-10-04,Man United,Tottenham,1-4,1-6
2020-10-04,Wolves,Fulham,0-0,1-0
2020-10-04,Southampton,West Brom,1-0,2-0
2020-10-04,Leicester,West Ham,0-2,0-3
2020-10-04,Arsenal,Sheffield United,0-0,2-1
2020-10-17,Everton,Liverpool,1-1,2-2
2020-10-17,Chelsea,Southampton,2-1,3-3
2020-10-17,Man City,Arsenal,1-0,1-0
2020-10-17,Newcastle,Man United,1-1,1-4
2020-10-18,Leicester,Aston Villa,0-0,0-1
2020-10-18,Sheffield United,Fulham,0-0,1-1
2020-10-18,Crystal Palace,Brighton,1-0,1-1
